Client Order ID,Instrument,Side,Quantity,Price
o000001,Rose,1,950,14.0
o000002,Lavender,1,180,11.5
o000003,Orchid,1,760,16.5
o000004,Rose,1,120,13.0
o000005,Lavender,1,720,13.0
o000006,Orchid,2,290,17.0
o000007,Orchid,2,10,12.5
o000008,Tulip,2,360,12.0
o000009,Lavender,2,140,11.0
o000010,Tulip,1,460,15.5
o000011,Orchid,2,60,17.0
o000012,Orchid,1,490,11.0
o000013,Orchid,2,810,19.5
o000014,Lotus,1,910,11.0
o000015,Rose,1,990,14.5
o000016,Rose,1,130,16.0
o000017,Lotus,2,820,15.5
o000018,Lavender,2,460,13.0
o000019,Lotus,1,780,12.5
o000020,Orchid,1,210,17.0
o000021,Tulip,2,820,18.5
o000022,Lavender,2,990,10.5
o000023,Lavender,1,410,16.0
o000024,Lotus,1,280,19.0
o000025,Lotus,1,840,17.5
o000026,Tulip,2,190,14.0
o000027,Lavender,1,960,18.5
o000028,Orchid,2,960,19.0
o000029,Tulip,2,470,13.5
o000030,Lavender,2,120,10.5
o000031,Rose,1,810,12.5
o000032,Tulip,1,500,16.0
o000033,Orchid,2,680,14.0
o000034,Orchid,1,880,11.5
o000035,Orchid,2,990,15.0
o000036,Rose,2,560,12.5
o000037,Tulip,1,930,14.0
o000038,Orchid,1,650,11.5
o000039,Lotus,1,200,15.5
o000040,Lavender,1,770,15.0
o000041,Tulip,1,150,15.5
o000042,Lotus,1,80,13.5
o000043,Orchid,1,110,17.5
o000044,Rose,1,170,17.5
o000045,Orchid,1,340,18.0
o000046,Orchid,2,280,18.5
o000047,Lavender,2,520,15.5
o000048,Tulip,2,160,13.5
o000049,Lavender,1,440,10.0
o000050,Orchid,1,760,13.5
o000051,Rose,1,910,10.5
o000052,Lavender,1,50,15.0
o000053,Rose,1,360,17.5
o000054,Lavender,1,930,19.0
o000055,Orchid,2,320,17.5
o000056,Tulip,1,130,11.5
o000057,Tulip,2,550,16.5
o000058,Tulip,1,870,11.5
o000059,Rose,2,940,15.0
o000060,Rose,1,250,13.0
o000061,Orchid,2,180,16.5
o000062,Lavender,2,600,13.5
o000063,Rose,2,710,11.5
o000064,Rose,1,120,13.5
o000065,Lavender,2,630,17.5
o000066,Lavender,2,80,12.5
o000067,Tulip,1,500,14.0
o000068,Tulip,2,550,18.5
o000069,Tulip,1,250,14.5
o000070,Lavender,1,750,18.5
o000071,Rose,2,80,10.5
o000072,Orchid,2,650,18.0
o000073,Lavender,1,660,11.0
o000074,Lavender,1,770,11.0
o000075,Lavender,2,160,19.0
o000076,Lavender,1,800,11.0
o000077,Tulip,2,340,13.0
o000078,Lotus,1,340,16.0
o000079,Lavender,2,590,15.0
o000080,Rose,1,590,19.5
o000081,Orchid,1,100,18.5
o000082,Lavender,2,170,15.5
o000083,Rose,1,480,14.5
o000084,Lavender,2,700,14.5
o000085,Orchid,1,860,18.5
o000086,Lotus,1,180,14.0
o000087,Rose,1,960,18.5
o000088,Lavender,2,370,19.5
o000089,Lavender,2,270,14.0
o000090,Orchid,2,330,10.5
o000091,Rose,2,360,10.5
o000092,Rose,2,990,12.0
o000093,Lotus,1,950,17.0
o000094,Orchid,2,720,10.0
o000095,Rose,1,890,12.0
o000096,Orchid,1,480,19.0
o000097,Orchid,1,560,12.0
o000098,Rose,2,470,10.5
o000099,Lotus,1,880,13.5
o000100,Rose,2,1000,18.5
o000101,Tulip,1,310,12.5
o000102,Lavender,2,40,12.5
o000103,Lotus,2,860,13.5
o000104,Lotus,1,900,11.5
o000105,Tulip,1,610,13.5
o000106,Lavender,2,450,14.5
o000107,Lavender,1,40,13.0
o000108,Tulip,2,360,11.0
o000109,Lotus,2,830,18.0
o000110,Tulip,2,40,11.5
o000111,Lotus,1,750,14.0
o000112,Rose,1,770,16.5
o000113,Lotus,2,560,19.5
o000114,Orchid,1,500,19.0
o000115,Lavender,2,60,16.5
o000116,Rose,1,470,16.5
o000117,Rose,2,800,15.0
o000118,Rose,2,650,14.5
o000119,Tulip,2,520,14.5
o000120,Orchid,1,250,16.5
o000121,Tulip,1,790,19.0
o000122,Lotus,2,710,10.0
o000123,Lotus,2,270,16.5
o000124,Orchid,2,600,17.0
o000125,Tulip,1,660,17.5
o000126,Lavender,1,370,18.0
o000127,Orchid,2,120,13.5
o000128,Lotus,1,260,12.0
o000129,Rose,1,320,17.5
o000130,Orchid,1,590,16.5
o000131,Orchid,1,920,16.0
o000132,Tulip,2,320,12.0
o000133,Rose,1,1000,16.5
o000134,Lavender,1,900,18.0
o000135,Tulip,1,720,13.5
o000136,Rose,2,180,17.0
o000137,Orchid,2,970,17.0
o000138,Orchid,2,710,17.0
o000139,Lavender,2,580,14.0
o000140,Lavender,2,990,18.0
o000141,Tulip,1,360,17.0
o000142,Rose,2,310,14.0
o000143,Lotus,2,700,11.0
o000144,Lavender,1,300,16.0
o000145,Lavender,1,90,16.5
o000146,Tulip,2,700,17.0
o000147,Tulip,1,270,16.5
o000148,Tulip,1,980,19.0
o000149,Tulip,2,10,15.5
o000150,Lotus,2,540,18.5
o000151,Orchid,1,630,13.5
o000152,Lotus,2,630,10.0
o000153,Tulip,2,860,16.0
o000154,Lavender,2,170,19.5
o000155,Orchid,1,510,19.0
o000156,Orchid,1,110,16.5
o000157,Lavender,2,240,10.5
o000158,Lotus,2,420,13.0
o000159,Tulip,2,440,16.0
o000160,Lotus,2,330,11.0
o000161,Tulip,1,960,18.5
o000162,Rose,2,290,11.0
o000163,Rose,1,320,13.0
o000164,Rose,1,310,12.0
o000165,Tulip,1,730,13.0
o000166,Tulip,2,990,15.5
o000167,Lavender,1,1000,12.5
o000168,Lotus,1,750,10.0
o000169,Lotus,2,510,13.0
o000170,Rose,1,140,14.5
o000171,Orchid,1,730,10.5
o000172,Lotus,2,850,15.5
o000173,Rose,2,20,16.5
o000174,Tulip,1,560,15.5
o000175,Tulip,1,560,12.5
o000176,Orchid,2,790,18.5
o000177,Tulip,2,560,19.0
o000178,Lotus,2,320,11.0
o000179,Lotus,2,320,17.0
o000180,Orchid,2,440,10.0
o000181,Tulip,2,240,17.5
o000182,Lavender,2,340,15.0
o000183,Lotus,2,720,10.0
o000184,Orchid,1,110,13.5
o000185,Tulip,2,720,13.5
o000186,Tulip,2,580,10.0
o000187,Rose,2,290,16.0
o000188,Lavender,2,850,19.0
o000189,Lotus,2,710,18.0
o000190,Lotus,2,960,18.5
o000191,Lotus,2,900,17.0
o000192,Lotus,2,330,13.5
